[19-May-2025 10:08:52 Europe/Helsinki] PHP Fatal error:  Cannot redeclare getBasePath() (previously declared in C:\laragon\www\prog23\lagerhanteringssystem\includes\routes.php:264) in C:\laragon\www\prog23\lagerhanteringssystem\includes\auth.php on line 264
[19-May-2025 10:08:59 Europe/Helsinki] PHP Fatal error:  Cannot redeclare getBasePath() (previously declared in C:\laragon\www\prog23\lagerhanteringssystem\includes\routes.php:264) in C:\laragon\www\prog23\lagerhanteringssystem\includes\auth.php on line 264
[19-May-2025 10:12:04 Europe/Helsinki] PHP Fatal error:  Cannot redeclare getBasePath() (previously declared in C:\laragon\www\prog23\lagerhanteringssystem\includes\routes.php:72) in C:\laragon\www\prog23\lagerhanteringssystem\includes\auth.php on line 264
[19-May-2025 10:32:11 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:12 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:12 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:20 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:20 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:20 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:24 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:24 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:24 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:24 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:24 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:24 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:24 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:24 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:24 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:29 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:29 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:29 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:33 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:33 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:33 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:33 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:33 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:33 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:33 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:33 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:33 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:35 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:35 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:35 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:35 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:35 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:35 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:35 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:35 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:35 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:37 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:37 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:37 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:40 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:40 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:40 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:42 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:42 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:42 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:42 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:42 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:42 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:42 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:42 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:42 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
[19-May-2025 10:32:43 Europe/Helsinki] PHP Warning:  Constant BASE_PATH already defined in C:\laragon\www\prog23\lagerhanteringssystem\config\config.php on line 68
